[DEBUG] 2021-12-15 16:54:29.639 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-12-15 16:54:29.647 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-12-15 16:54:29.652 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-12-15 16:54:29.725 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-12-15 16:54:29.729 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-12-15 16:54:29.923 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-12-15 16:54:29.927 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-12-15 16:54:29.932 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-12-15 16:54:30.235 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-12-15 16:54:30.254 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-12-15 16:54:30.254 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-12-15 16:54:30.273 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-12-15 16:54:30.312 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@4e1ce44
[DEBUG] 2021-12-15 16:54:30.313 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@4e1ce44
[DEBUG] 2021-12-15 16:54:30.313 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@4e1ce44
[DEBUG] 2021-12-15 16:54:30.313 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@524a2ffb
[DEBUG] 2021-12-15 16:54:30.313 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@72456279
[DEBUG] 2021-12-15 16:54:30.314 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@1416cf9f
[DEBUG] 2021-12-15 16:54:30.314 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@a518813
[DEBUG] 2021-12-15 16:54:30.317 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@a518813
[DEBUG] 2021-12-15 16:54:30.318 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@a518813
[DEBUG] 2021-12-15 16:54:30.318 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@1d75e7af
[DEBUG] 2021-12-15 16:54:30.319 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@1d75e7af
[DEBUG] 2021-12-15 16:54:30.319 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@1d75e7af
[DEBUG] 2021-12-15 16:54:30.319 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3d5790ea
[DEBUG] 2021-12-15 16:54:30.322 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3d5790ea
[DEBUG] 2021-12-15 16:54:30.322 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@3d5790ea
[DEBUG] 2021-12-15 16:54:30.322 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@5c534b5b
[DEBUG] 2021-12-15 16:54:30.322 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@5c534b5b
[DEBUG] 2021-12-15 16:54:30.322 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@5c534b5b
[DEBUG] 2021-12-15 16:54:30.323 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@7158daf2
[DEBUG] 2021-12-15 16:54:30.323 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@7158daf2
[DEBUG] 2021-12-15 16:54:30.323 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@7158daf2
[DEBUG] 2021-12-15 16:54:30.324 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@7a389761
[DEBUG] 2021-12-15 16:54:30.327 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@7a389761
[DEBUG] 2021-12-15 16:54:30.327 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@7a389761
[DEBUG] 2021-12-15 16:54:30.327 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@1a6cf771
[DEBUG] 2021-12-15 16:54:30.327 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@1a6cf771
